Catherine BEARDER,GB,Royaume-Uni,ALDE,pro
António MARINHO E PINTO,PT,Portugal,ALDE,anti
Valentinas MAZURONIS,LT,Lituanie,ALDE,anti
Louis MICHEL,BE,Belgique,ALDE,anti
Iskra MIHAYLOVA,BG,Bulgarie,ALDE,anti
Javier NART,ES,Espagne,ALDE,anti
Maite PAGAZAURTUNDÚA RUIZ,ES,Espagne,ALDE,anti
Morten Helveg PETERSEN,DK,Danemark,ALDE,anti
Carolina PUNSET,ES,Espagne,ALDE,anti
Frédérique RIES,BE,Belgique,ALDE,anti
Dominique RIQUET,FR,France,ALDE,anti
Robert ROCHEFORT,FR,France,ALDE,anti
Jens ROHDE,DK,Danemark,ALDE,anti
Ivo VAJGL,SI,Slovénie,ALDE,anti
Hilde VAUTMANS,BE,Belgique,ALDE,anti
Guy VERHOFSTADT,BE,Belgique,ALDE,anti
Lieve WIERINCK,BE,Belgique,ALDE,anti
Amjad BASHIR,GB,Royaume-Uni,ECR,anti
Raffaele FITTO,IT,Italie,ECR,anti
Jacqueline FOSTER,GB,Royaume-Uni,ECR,anti
Ashley FOX,GB,Royaume-Uni,ECR,anti
Hans-Olaf HENKEL,DE,Allemagne,ECR,anti
Sajjad KARIM,GB,Royaume-Uni,ECR,anti
Bernd KÖLMEL,DE,Allemagne,ECR,anti
Innocenzo LEONTINI,IT,Italie,ECR,anti
Peter LUNDGREN,SE,Suède,ECR,anti
Emma McCLARKIN,GB,Royaume-Uni,ECR,anti
Anthea McINTYRE,GB,Royaume-Uni,ECR,anti
Rupert MATTHEWS,GB,Royaume-Uni,ECR,anti
Stefano MAULLU,IT,Italie,ECR,anti
Baroness Nosheena MOBARIK,GB,Royaume-Uni,ECR,anti
Remo SERNAGIOTTO,IT,Italie,ECR,anti
Kay SWINBURNE,GB,Royaume-Uni,ECR,anti
Charles TANNOCK,GB,Royaume-Uni,ECR,anti
Geoffrey VAN ORDEN,GB,Royaume-Uni,ECR,anti
Kristina WINBERG,SE,Suède,ECR,anti
Roberts ZĪLE,LV,Lettonie,ECR,anti
Joëlle BERGERON,FR,France,EFDD,anti
Mireille D'ORNANO,FR,France,EFDD,anti
Sylvie GODDYN,FR,France,EFDD,anti
Bernard MONOT,FR,France,EFDD,anti
Rolandas PAKSAS,LT,Lituanie,EFDD,anti
Marie-Christine ARNAUTU,FR,France,ENF,anti
Nicolas BAY,FR,France,ENF,anti
Dominique BILDE,FR,France,ENF,anti
Marie-Christine BOUTONNET,FR,France,ENF,anti
Steeve BRIOIS,FR,France,ENF,anti
Jacques COLOMBIER,FR,France,ENF,anti
Jean-François JALKH,FR,France,ENF,anti
France JAMET,FR,France,ENF,anti
Gilles LEBRETON,FR,France,ENF,anti
Christelle LECHEVALIER,FR,France,ENF,anti
Philippe LOISEAU,FR,France,ENF,anti
Dominique MARTIN,FR,France,ENF,anti
Joëlle MÉLIN,FR,France,ENF,anti
Jean-Luc SCHAFFHAUSER,FR,France,ENF,anti
Mylène TROSZCZYNSKI,FR,France,ENF,anti
Patrick LE HYARIC,FR,France,GUE/NGL,anti
Emmanuel MAUREL,FR,France,GUE/NGL,anti
Marie-Pierre VIEU,FR,France,GUE/NGL,anti
Mike HOOKEM,GB,Royaume-Uni,NI,anti
Sophie MONTEL,FR,France,NI,anti
Michèle ALLIOT-MARIE,FR,France,PPE,anti
Richard ASHWORTH,GB,Royaume-Uni,PPE,anti
Pilar AYUSO,ES,Espagne,PPE,anti
Heinz K. BECKER,AT,Autriche,PPE,anti
Ivo BELET,BE,Belgique,PPE,anti
Bendt BENDTSEN,DK,Danemark,PPE,anti
Andrea BOCSKOR,HU,Hongrie,PPE,anti
Reimer BÖGE,DE,Allemagne,PPE,anti
Franc BOGOVIČ,SI,Slovénie,PPE,anti
Elmar BROK,DE,Allemagne,PPE,anti
Daniel BUDA,RO,Roumanie,PPE,anti
Cristian-Silviu BUŞOI,RO,Roumanie,PPE,anti
Alain CADEC,FR,France,PPE,anti
Wim van de CAMP,NL,Pays-Bas,PPE,anti
David CASA,MT,Malte,PPE,anti
Daniel CASPARY,DE,Allemagne,PPE,anti
Pilar del CASTILLO VERA,ES,Espagne,PPE,anti
Lorenzo CESA,IT,Italie,PPE,anti
Salvatore CICU,IT,Italie,PPE,anti
Alberto CIRIO,IT,Italie,PPE,anti
Carlos COELHO,PT,Portugal,PPE,anti
Birgit COLLIN-LANGEN,DE,Allemagne,PPE,anti
Lara COMI,IT,Italie,PPE,anti
Pál CSÁKY,SK,Slovaquie,PPE,anti
Arnaud DANJEAN,FR,France,PPE,anti
Michel DANTIN,FR,France,PPE,anti
Rachida DATI,FR,France,PPE,anti
Angélique DELAHAYE,FR,France,PPE,anti
Andor DELI,HU,Hongrie,PPE,anti
Albert DESS,DE,Allemagne,PPE,anti
Tamás DEUTSCH,HU,Hongrie,PPE,anti
Agustín DÍAZ DE MERA GARCÍA CONSUEGRA,ES,Espagne,PPE,anti
Geoffroy DIDIER,FR,France,PPE,anti
Christian EHLER,DE,Allemagne,PPE,anti
Norbert ERDŐS,HU,Hongrie,PPE,anti
Rosa ESTARÀS FERRAGUT,ES,Espagne,PPE,anti
José Inácio FARIA,PT,Portugal,PPE,anti
José Manuel FERNANDES,PT,Portugal,PPE,anti
Santiago FISAS AYXELÀ,ES,Espagne,PPE,anti
Karl-Heinz FLORENZ,DE,Allemagne,PPE,anti
Michael GAHLER,DE,Allemagne,PPE,anti
Kinga GÁL,HU,Hongrie,PPE,anti
Francesc GAMBÚS,ES,Espagne,PPE,anti
Elisabetta GARDINI,IT,Italie,PPE,anti
Stefan GEHROLD,DE,Allemagne,PPE,anti
Jens GIESEKE,DE,Allemagne,PPE,anti
Julie GIRLING,GB,Royaume-Uni,PPE,anti
Esteban GONZÁLEZ PONS,ES,Espagne,PPE,anti
Luis de GRANDES PASCUAL,ES,Espagne,PPE,anti
Ingeborg GRÄSSLE,DE,Allemagne,PPE,anti
Françoise GROSSETÊTE,FR,France,PPE,anti
Antanas GUOGA,LT,Lituanie,PPE,anti
Brian HAYES,IE,Irlande,PPE,anti
Esther HERRANZ GARCÍA,ES,Espagne,PPE,anti
Monika HOHLMEIER,DE,Allemagne,PPE,anti
György HÖLVÉNYI,HU,Hongrie,PPE,anti
Brice HORTEFEUX,FR,France,PPE,anti
Carlos ITURGAIZ,ES,Espagne,PPE,anti
Peter JAHR,DE,Allemagne,PPE,anti
Teresa JIMÉNEZ-BECERRIL BARRIO,ES,Espagne,PPE,anti
Marc JOULAUD,FR,France,PPE,anti
Philippe JUVIN,FR,France,PPE,anti
Sandra KALNIETE,LV,Lettonie,PPE,anti
Othmar KARAS,AT,Autriche,PPE,anti
Tunne KELAM,EE,Estonie,PPE,anti
Seán KELLY,IE,Irlande,PPE,anti
Dieter-Lebrecht KOCH,DE,Allemagne,PPE,anti
Ádám KÓSA,HU,Hongrie,PPE,anti
Andrey KOVATCHEV,BG,Bulgarie,PPE,anti
Barbara KUDRYCKA,PL,Pologne,PPE,anti
Werner KUHN,DE,Allemagne,PPE,anti
Eduard KUKAN,SK,Slovaquie,PPE,anti
Alain LAMASSOURE,FR,France,PPE,anti
Esther de LANGE,NL,Pays-Bas,PPE,anti
Werner LANGEN,DE,Allemagne,PPE,anti
Giovanni LA VIA,IT,Italie,PPE,anti
Jérôme LAVRILLEUX,FR,France,PPE,anti
Jeroen LENAERS,NL,Pays-Bas,PPE,anti
Peter LIESE,DE,Allemagne,PPE,anti
Norbert LINS,DE,Allemagne,PPE,anti
Antonio LÓPEZ-ISTÚRIZ WHITE,ES,Espagne,PPE,anti
Aleksejs LOSKUTOVS,LV,Lettonie,PPE,anti
David McALLISTER,DE,Allemagne,PPE,anti
Mairead McGUINNESS,IE,Irlande,PPE,anti
Ivana MALETIĆ,HR,Croatie,PPE,anti
Lukas MANDL,AT,Autriche,PPE,anti
Ramona Nicole MĂNESCU,RO,Roumanie,PPE,anti
Marian-Jean MARINESCU,RO,Roumanie,PPE,anti
Fulvio MARTUSCIELLO,IT,Italie,PPE,anti
Barbara MATERA,IT,Italie,PPE,anti
Gabriel MATO,ES,Espagne,PPE,anti
Nuno MELO,PT,Portugal,PPE,anti
Roberta METSOLA,MT,Malte,PPE,anti
Miroslav MIKOLÁŠIK,SK,Slovaquie,PPE,anti
Francisco José MILLÁN MON,ES,Espagne,PPE,anti
Sorin MOISĂ,RO,Roumanie,PPE,anti
Cláudia MONTEIRO DE AGUIAR,PT,Portugal,PPE,anti
Nadine MORANO,FR,France,PPE,anti
Elisabeth MORIN-CHARTIER,FR,France,PPE,anti
Siegfried MUREŞAN,RO,Roumanie,PPE,anti
Renaud MUSELIER,FR,France,PPE,anti
Alessandra MUSSOLINI,IT,Italie,PPE,anti
Angelika NIEBLER,DE,Allemagne,PPE,anti
Lambert van NISTELROOIJ,NL,Pays-Bas,PPE,anti
Alojz PETERLE,SI,Slovénie,PPE,anti
Marijana PETIR,HR,Croatie,PPE,anti
Markus PIEPER,DE,Allemagne,PPE,anti
Julia PITERA,PL,Pologne,PPE,anti
Cristian Dan PREDA,RO,Roumanie,PPE,anti
Franck PROUST,FR,France,PPE,anti
Godelieve QUISTHOUDT-ROWOHL,DE,Allemagne,PPE,anti
Emil RADEV,BG,Bulgarie,PPE,anti
Dennis RADTKE,DE,Allemagne,PPE,anti
Paulo RANGEL,PT,Portugal,PPE,anti
Sofia RIBEIRO,PT,Portugal,PPE,anti
Claude ROLIN,BE,Belgique,PPE,anti
Fernando RUAS,PT,Portugal,PPE,anti
Paul RÜBIG,AT,Autriche,PPE,anti
Kārlis ŠADURSKIS,LV,Lettonie,PPE,anti
Tokia SAÏFI,FR,France,PPE,anti
José Ignacio SALAFRANCA SÁNCHEZ-NEYRA,ES,Espagne,PPE,anti
Massimiliano SALINI,IT,Italie,PPE,anti
Anne SANDER,FR,France,PPE,anti
Petri SARVAMAA,FI,Finlande,PPE,anti
Algirdas SAUDARGAS,LT,Lituanie,PPE,anti
Claudia SCHMIDT,AT,Autriche,PPE,anti
Annie SCHREIJER-PIERIK,NL,Pays-Bas,PPE,anti
Sven SCHULZE,DE,Allemagne,PPE,anti
Andreas SCHWAB,DE,Allemagne,PPE,anti
Csaba SÓGOR,RO,Roumanie,PPE,anti
Michaela ŠOJDROVÁ,CZ,Tchéquie,PPE,anti
Renate SOMMER,DE,Allemagne,PPE,anti
Ivan ŠTEFANEC,SK,Slovaquie,PPE,anti
Dubravka ŠUICA,HR,Croatie,PPE,anti
Pavel SVOBODA,CZ,Tchéquie,PPE,anti
József SZÁJER,HU,Hongrie,PPE,anti
László TŐKÉS,HU,Hongrie,PPE,anti
Mihai ŢURCANU,RO,Roumanie,PPE,anti
Inese VAIDERE,LV,Lettonie,PPE,anti
Ramón Luis VALCÁRCEL SISO,ES,Espagne,PPE,anti
Tom VANDENKENDELAERE,BE,Belgique,PPE,anti
Sabine VERHEYEN,DE,Allemagne,PPE,anti
Henna VIRKKUNEN,FI,Finlande,PPE,anti
Axel VOSS,DE,Allemagne,PPE,anti
Manfred WEBER,DE,Allemagne,PPE,anti
Rainer WIELAND,DE,Allemagne,PPE,anti
Francis ZAMMIT DIMECH,MT,Malte,PPE,anti
Bogdan Andrzej ZDROJEWSKI,PL,Pologne,PPE,anti
Joachim ZELLER,DE,Allemagne,PPE,anti
Željana ZOVKO,HR,Croatie,PPE,anti
Milan ZVER,SI,Slovénie,PPE,anti
Tadeusz ZWIEFKA,PL,Pologne,PPE,anti
Clara Eugenia AGUILERA GARCÍA,ES,Espagne,S&D,anti
Lucy ANDERSON,GB,Royaume-Uni,S&D,anti
Eric ANDRIEU,FR,France,S&D,anti
Maria ARENA,BE,Belgique,S&D,anti
Inés AYALA SENDER,ES,Espagne,S&D,anti
Guillaume BALAS,FR,France,S&D,anti
Hugues BAYET,BE,Belgique,S&D,anti
Pervenche BERÈS,FR,France,S&D,anti
Goffredo Maria BETTINI,IT,Italie,S&D,anti
José BLANCO LÓPEZ,ES,Espagne,S&D,anti
Simona BONAFÈ,IT,Italie,S&D,anti
Victor BOŞTINARU,RO,Roumanie,S&D,anti
Paul BRANNEN,GB,Royaume-Uni,S&D,anti
Mercedes BRESSO,IT,Italie,S&D,anti
Soledad CABEZÓN RUIZ,ES,Espagne,S&D,anti
Nicola CAPUTO,IT,Italie,S&D,anti
Caterina CHINNICI,IT,Italie,S&D,anti
Ole CHRISTENSEN,DK,Danemark,S&D,anti
Silvia COSTA,IT,Italie,S&D,anti
Seb DANCE,GB,Royaume-Uni,S&D,anti
Nicola DANTI,IT,Italie,S&D,anti
Paolo DE CASTRO,IT,Italie,S&D,anti
Isabella DE MONTE,IT,Italie,S&D,anti
Damian DRĂGHICI,RO,Roumanie,S&D,anti
Jonás FERNÁNDEZ,ES,Espagne,S&D,anti
Giuseppe FERRANDINO,IT,Italie,S&D,anti
Iratxe GARCÍA PÉREZ,ES,Espagne,S&D,anti
Eider GARDIAZABAL RUBIAL,ES,Espagne,S&D,anti
Enrico GASBARRA,IT,Italie,S&D,anti
Elena GENTILE,IT,Italie,S&D,anti
Neena GILL,GB,Royaume-Uni,S&D,anti
Michela GIUFFRIDA,IT,Italie,S&D,anti
Karine GLOANEC MAURIN,FR,France,S&D,anti
Giorgos GRAMMATIKAKIS,GR,Grèce,S&D,anti
Theresa GRIFFIN,GB,Royaume-Uni,S&D,anti
Roberto GUALTIERI,IT,Italie,S&D,anti
Enrique GUERRERO SALOM,ES,Espagne,S&D,anti
Sylvie GUILLAUME,FR,France,S&D,anti
Jytte GUTELAND,SE,Suède,S&D,anti
Mary HONEYBALL,GB,Royaume-Uni,S&D,anti
John HOWARTH,GB,Royaume-Uni,S&D,anti
Ramón JÁUREGUI ATONDO,ES,Espagne,S&D,anti
Jude KIRTON-DARLING,GB,Royaume-Uni,S&D,anti
Jeppe KOFOD,DK,Danemark,S&D,anti
Peter KOUROUMBASHEV,BG,Bulgarie,S&D,anti
Cécile Kashetu KYENGE,IT,Italie,S&D,anti
Miltiadis KYRKOS,GR,Grèce,S&D,anti
Juan Fernando LÓPEZ AGUILAR,ES,Espagne,S&D,anti
Olle LUDVIGSSON,SE,Suède,S&D,anti
Linda McAVAN,GB,Royaume-Uni,S&D,anti
Vladimír MAŇKA,SK,Slovaquie,S&D,anti
Louis-Joseph MANSCOUR,FR,France,S&D,anti
David MARTIN,GB,Royaume-Uni,S&D,anti
Edouard MARTIN,FR,France,S&D,anti
Marlene MIZZI,MT,Malte,S&D,anti
Csaba MOLNÁR,HU,Hongrie,S&D,anti
Clare MOODY,GB,Royaume-Uni,S&D,anti
Claude MORAES,GB,Royaume-Uni,S&D,anti
Luigi MORGANO,IT,Italie,S&D,anti
Pier Antonio PANZERI,IT,Italie,S&D,anti
Massimo PAOLUCCI,IT,Italie,S&D,anti
Vincent PEILLON,FR,France,S&D,anti
Pina PICIERNO,IT,Italie,S&D,anti
Christine REVAULT D'ALLONNES BONNEFOY,FR,France,S&D,anti
Liliana RODRIGUES,PT,Portugal,S&D,anti
Inmaculada RODRÍGUEZ-PIÑERO FERNÁNDEZ,ES,Espagne,S&D,anti
Virginie ROZIÈRE,FR,France,S&D,anti
Alfred SANT,MT,Malte,S&D,anti
Manuel dos SANTOS,PT,Portugal,S&D,anti
Daciana Octavia SÂRBU,RO,Roumanie,S&D,anti
David-Maria SASSOLI,IT,Italie,S&D,anti
Christel SCHALDEMOSE,DK,Danemark,S&D,anti
Ricardo SERRÃO SANTOS,PT,Portugal,S&D,anti
Pedro SILVA PEREIRA,PT,Portugal,S&D,anti
Siôn SIMON,GB,Royaume-Uni,S&D,anti
Monika SMOLKOVÁ,SK,Slovaquie,S&D,anti
Marc TARABELLA,BE,Belgique,S&D,anti
Patrizia TOIA,IT,Italie,S&D,anti
Kathleen VAN BREMPT,BE,Belgique,S&D,anti
Derek VAUGHAN,GB,Royaume-Uni,S&D,anti
Julie WARD,GB,Royaume-Uni,S&D,anti
Boris ZALA,SK,Slovaquie,S&D,anti
Flavio ZANONATO,IT,Italie,S&D,anti
Damiano ZOFFOLI,IT,Italie,S&D,anti
Carlos ZORRINHO,PT,Portugal,S&D,anti
José BOVÉ,FR,France,Verts/ALE,anti
Maria HEUBUCH,DE,Allemagne,Verts/ALE,anti
Bart STAES,BE,Belgique,Verts/ALE,anti
Helga TRÜPEL,DE,Allemagne,Verts/ALE,anti
Dita CHARANZOVÁ,CZ,Tchéquie,ALDE,abstention
Mircea DIACONU,RO,Roumanie,ALDE,abstention
Martina DLABAJOVÁ,CZ,Tchéquie,ALDE,abstention
Elsi KATAINEN,FI,Finlande,ALDE,abstention
Urmas PAET,EE,Estonie,ALDE,abstention
Viktor USPASKICH,LT,Lituanie,ALDE,abstention
Mirja VEHKAPERÄ,FI,Finlande,ALDE,abstention
Morten MESSERSCHMIDT,DK,Danemark,ECR,abstention
James NICHOLSON,GB,Royaume-Uni,ECR,abstention
Nigel FARAGE,GB,Royaume-Uni,EFDD,abstention
Giulia MOI,IT,Italie,EFDD,abstention
Gerolf ANNEMANS,BE,Belgique,ENF,abstention
André ELISSEN,NL,Pays-Bas,ENF,abstention
Olaf STUGER,NL,Pays-Bas,ENF,abstention
Auke ZIJLSTRA,NL,Pays-Bas,ENF,abstention
Kazimierz Michał UJAZDOWSKI,PL,Pologne,NI,abstention
Laima Liucija ANDRIKIENĖ,LT,Lituanie,PPE,abstention
Nikos ANDROULAKIS,GR,Grèce,S&D,abstention
Bogusław LIBERADZKI,PL,Pologne,S&D,abstention
Janusz ZEMKE,PL,Pologne,S&D,abstention
Karima DELLI,FR,France,Verts/ALE,abstention
Yannick JADOT,FR,France,Verts/ALE,abstention
Eva JOLY,FR,France,Verts/ALE,abstention
Michèle RIVASI,FR,France,Verts/ALE,abstention
